"feature","01_INACTvsControl","P_01_INACTvsControl","FDR_01_INACTvsControl","01_ACTvsControl","P_01_ACTvsControl","FDR_01_ACTvsControl","01_ACTvsINACT","P_01_ACTvsINACT","FDR_01_ACTvsINACT","01_AA.CTRLvsEA.CTRL","P_01_AA.CTRLvsEA.CTRL","FDR_01_AA.CTRLvsEA.CTRL","01_AA.INACTvsEA.INACT","P_01_AA.INACTvsEA.INACT","FDR_01_AA.INACTvsEA.INACT","01_AA.ACTvsEA.ACT","P_01_AA.ACTvsEA.ACT","FDR_01_AA.ACTvsEA.ACT","01_AA.INACTvsAA.CTRL","P_01_AA.INACTvsAA.CTRL","FDR_01_AA.INACTvsAA.CTRL","01_AA.ACTvsAA.CTRL","P_01_AA.ACTvsAA.CTRL","FDR_01_AA.ACTvsAA.CTRL","01_AA.ACTvsAA.INACT","P_01_AA.ACTvsAA.INACT","FDR_01_AA.ACTvsAA.INACT","01_EA.INACTvsEA.CTRL","P_01_EA.INACTvsEA.CTRL","FDR_01_EA.INACTvsEA.CTRL","01_EA.ACTvsEA.CTRL","P_01_EA.ACTvsEA.CTRL","FDR_01_EA.ACTvsEA.CTRL","01_EA.ACTvsEA.INACT","P_01_EA.ACTvsEA.INACT","FDR_01_EA.ACTvsEA.INACT"
"AP000787.1",0.00146252591576818,0.384793108455498,0.441823773592855,-0.0171196830612695,0.128103666606473,0.334790854490687,-0.0100255058466829,0.650015907708573,0.865943570612152,-0.00259169351905324,0.0759277934539513,0.413311293062378,-0.0607514538404349,0.00288731596403403,0.00327356617909024,1.63259620421611,0.0289542755284736,0.198660747183935,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00392632900865603,0.779655549476809,0.843540941473945,-0.00932429712511565,0.787755764081798,0.942968987727898,-0.0010414570504885,0.986024915578175,0.992502186602887
"AP3B1",-0.00228060334103478,0.459854179886319,0.50809968282682,0.00268643024385778,0.693595528751825,0.819607540845668,0.00688522210927967,0.445214423189352,0.764045397215275,0.0156979995709304,0.796518864053909,0.951231049507369,-0.0133927062025199,0.00293935509807721,0.00332815868247896,-0.0282386329258257,0.673227659632307,0.847911300363538,-0.00099604133333326,0.990297008751724,0.990297008751724,-0.00133795462389816,0.992119551427167,0.998547971846782,0.00110888106287172,0.887322018114647,0.958435029944871,-0.0043477793349053,0.187750356342408,0.339890990257674,0.00675082444607463,0.638973424236755,0.880340396372671,0.0108793323529548,0.0736560287387406,0.439236727636629
"APRT",0.0068418608341305,0.00431334410233508,0.0161191371494988,0.00174614364469109,0.461787392351528,0.668081199402024,-0.00369270455337854,0.866305408151998,0.962454438570043,-0.00466069445753653,0.538022549975054,0.863402730231107,-0.0485600908330002,0.0462806920149674,0.0475015256172807,0.0346027401169483,0.225100777801336,0.518772170689212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00382450242905251,0.121493975623535,0.263287443433547,-0.000905525816957284,0.991122255068292,0.996313634508831,-0.00477232541781741,0.686452060287176,0.863236538728903
"ARF6",-0.00912090566019162,0.286085959658855,0.34931510291679,-0.00822998644613683,0.47602056184176,0.680578966034741,0.00214833755946175,0.744010014183954,0.922071350150589,0.0391394260443018,0.330539652145994,0.752428444521426,-0.0785467234463955,0.000939877414824059,0.00109759217883956,-0.0394821602310632,0.00474110880049949,0.0767313512870599,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00888397992670983,0.411812836809482,0.546359320896855,-0.00633677819881006,0.672203422056577,0.902101990194885,-0.000473569895571693,0.882593344035056,0.946838910057984
"ARGLU1",-0.0129098376498542,0.0466673551752543,0.0871296326540759,0.00316867655202795,0.479916114816656,0.682821825125169,0.0138806222617991,0.129360787907853,0.537655774742013,-0.0254690664591761,0.841813263950992,0.969575868490437,0.0368958812904856,1.14728301923898e-09,3.67818076579986e-09,-0.0142579618470112,0.267491621123947,0.551529928517645,-0.00686726668031332,0.33751442019543,0.537522965496426,0.00563352813197501,0.76737431739857,0.886405275866925,0.0499761723180193,0.0704372910810372,0.333264810016334,-0.0155705142112367,0.117901847201895,0.258729053581936,0.00011748675280901,0.996676253535329,0.99759739609867,0.00675651887755037,0.55270063551617,0.807243451554355
"ARHGAP15",0.00305888159562692,0.0768420635784152,0.126940075617284,0.00374931622776217,0.951380173654246,0.971220501302809,-0.0020790447857171,0.564803029405428,0.826462506594803,-0.0196860046744011,0.524298410222412,0.863402730231107,-0.0408404339051807,2.32433377127914e-09,6.50205786998347e-09,-0.0229303689762139,0.878539037323633,0.95516087605949,0.00409477221348145,0.147993468313675,0.354885901703385,0.0137858387364942,0.804066923936168,0.901153565960517,0.00243835737265596,0.130478211839195,0.420897457545791,0.00691425930732942,0.654492906839898,0.758997405332165,-0.000381643481015853,0.824807169487191,0.953804065130379,-0.0113447450098596,0.781250904060491,0.898618271835607
"ARHGAP24",0.00344312181081645,0.364062006057181,0.423065158762999,-0.0229027223663333,0.0250969435857869,0.13875024525285,0.00245260761346794,0.593279475753788,0.833515883189301,0.00404126369763336,0.859936806474195,0.978298626626748,0.192828712924886,4.6187192657522e-09,1.15265996836265e-08,-0.0582869911783362,0.0290586255239668,0.198660747183935,0.0146384049584126,0.436369374611829,0.614293792236296,-0.00867231632535491,0.671936394383716,0.842186234999381,0.00613676340416047,0.609398043782692,0.795558803893854,-0.00171758790667666,0.772203273633167,0.837758607724372,-0.0271313163451479,0.1196749525953,0.470373405475729,0.00904400006182506,0.499144198844861,0.784525195621349
"ARHGDIB",0.0227241547741815,0.000123863427553019,0.00170375408511703,-0.000110748639530464,0.489831670247143,0.693107335962136,-0.0214163001826277,0.0553018355117532,0.323050285438589,-0.0358817253033664,0.517125939559084,0.858680335144584,-0.00855451525526359,3.48811323972558e-11,2.59636950713487e-10,-0.0498530291311762,0.35188133164786,0.634891152660694,0.0181996319536013,0.257472782194294,0.468402407607311,0.00468007688880594,0.770788908839418,0.886405275866925,-0.00443804799566257,0.943893434665902,0.968508195408965,0.0258419203966993,0.000507958953401698,0.011177681844729,-0.00170343877182044,0.985669724951266,0.996313634508831,-0.0287598996166248,0.0269373109919757,0.334337821662192
"ARID1B",0.00577427095775014,0.0160097912315414,0.040113752007654,0.0123592082117522,0.361739287188661,0.574533975917622,0.0090249224615167,0.0254490699411024,0.263744906662334,0.027871973575543,0.47717685585905,0.849905874651083,-0.0686723344492441,1.31613094982679e-08,2.79791978681757e-08,-0.0544963015876011,0.316865476057876,0.604194576248145,0.00683057192668729,0.595790749554711,0.723762633788956,0.028134703227346,0.17393252800447,0.464799389842739,0.003536344294719,0.499911930818427,0.737753360760123,0.00410039200699575,0.0115119837451723,0.0641276530420173,0.00831024630739545,0.72551621780681,0.925291696685334,0.00766744734992737,0.00862619022318135,0.237746218346218
"ARID4B",-0.0215364918081707,0.00306135298334513,0.0124611222697897,-0.0241949193307673,0.0241362947091649,0.135373131194882,-0.000836919788252816,0.423932694381557,0.752431136196175,0.0764540613642532,0.232316201096591,0.667366833562672,-0.0382982110308025,2.35226544313268e-12,4.19487337358662e-11,0.159197284998134,0.429978705060709,0.705062241332732,-0.013570294154296,0.173091144623222,0.382579959844784,-0.0225244056476253,0.0995546019171251,0.368194003915717,-0.00239608926937217,0.90418248688713,0.964298961994807,-0.0265976748781368,0.00783425157478395,0.052774919523157,-0.0224517371838388,0.12349193155721,0.480650272369775,0.00219410535499813,0.545957289631207,0.806781260594022
